	sample_name	total_breaks	canonical_breaks	normalised_breaks	cluster_prob_0	cluster_prob_1	p_control	p_treated	max_prob	group
0	Sample3	3734	1	0.268000	0.021124	0.978876	0.978876	0.021124	0.978876	ambiguous
1	Sample7	5858	0	0.000000	0.007171	0.992829	0.992829	0.007171	0.992829	control
2	Sample4	6990	0	0.000000	0.007171	0.992829	0.992829	0.007171	0.992829	control
3	Sample8	4577	0	0.000000	0.007171	0.992829	0.992829	0.007171	0.992829	control
4	Sample5	5697	0	0.000000	0.007171	0.992829	0.992829	0.007171	0.992829	control
5	Sample14	3564	7	1.964000	1.000000	0.000000	0.000000	1.000000	1.000000	treated
6	Sample2	10361	0	0.000000	0.007171	0.992829	0.992829	0.007171	0.992829	control
7	Sample12	2283	5	2.190000	1.000000	0.000000	0.000000	1.000000	1.000000	treated
8	Sample1	7774	0	0.000000	0.007171	0.992829	0.992829	0.007171	0.992829	control
9	Sample6	6466	0	0.000000	0.007171	0.992829	0.992829	0.007171	0.992829	control
10	Sample15	4859	15	3.087000	1.000000	0.000000	0.000000	1.000000	1.000000	treated
11	Sample9	1826	5	2.738000	1.000000	0.000000	0.000000	1.000000	1.000000	treated
12	Sample10	2961	10	3.377000	1.000000	0.000000	0.000000	1.000000	1.000000	treated
13	Sample11	2076	10	4.817000	1.000000	0.000000	0.000000	1.000000	1.000000	treated
14	Sample13	1629	2	1.228000	0.999943	0.000057	0.000057	0.999943	0.999943	treated
15	Sample16	5347	18	3.366000	1.000000	0.000000	0.000000	1.000000	1.000000	treated
